countryCode,id,name,code,startDate,endDate,year,clusterCode,cluster,requirements,funding,percentFunded
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7506,"WASH, Sanitation and Hygiene",194781520,101571696,52
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,,Not specified,,51813080,
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,,Multiple clusters/sectors (shared),,67670807,
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6841,Camp Coordination & Camp Management,78500000,8286559,11
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6847,Coordination,22366158,40011095,179
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6839,Education,278900000,48687207,17
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6848,Emergency Telecommunications,3600000,794208,22
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6827,Food Security and Agriculture,2200000000,773995603,35
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6830,Health,392000000,191375393,49
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6842,Logistics,41300000,41940535,102
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6849,Multi-Purpose Cash Assistance,98000000,53196751,54
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6829,Nutrition,398000000,157416540,40
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6828,Protection,225649287,141666047,63
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6843,Rapid Response Mechanism (RRM),14700000,2946425,20
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6844,Refugees and Migrants Multisector,70200000,98758379,141
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6840,Shelter and NFI,250000000,53656893,21
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,6831,"WASH, Sanitation and Hygiene",270939871,94299394,35
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,,Not specified,,42040877,
YEM,1116,Yemen Humanitarian Response Plan 2023,HYEM23,2023-01-01,2023-12-31,2023,,Multiple clusters/sectors (shared),,26175244,
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6415,Camp Coordination & Camp Management,86000000,2505706,3
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6651,Coordination,47300000,18949874,40
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6413,Education,275655254,34731468,13
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6419,Emergency Telecommunications,3393478,735400,22
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6411,Food Security and Agriculture,2100000000,1197356635,57
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6422,Health,398000000,185546341,47
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6417,Logistics,45643471,49930999,109
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6690,Multi-Purpose Cash Assistance,69000000,54305123,79
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6421,Nutrition,442000000,141692832,32
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6420,Protection,202000000,128322208,64
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6418,Rapid Response Mechanism (RRM),20025422,9884347,49
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6416,Refugees and Migrants Multisector,55796636,53851415,97
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6414,Shelter and NFI,224894164,98946207,44
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,6412,"WASH, Sanitation and Hygiene",302229992,98126890,32
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,,Not specified,,173090303,
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,2022-01-01,2022-12-31,2022,,Multiple clusters/sectors (shared),,65588531,
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,5898,Camp Coordination & Camp Management,61340000,5675805,9
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,6168,Coordination,37481693,20412232,54
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,5892,Education,257750026,78661156,31
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,5900,Emergency Telecommunications,3312450,3372760,102
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,5896,Food Security and Agriculture,1707979939,1222962994,72
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,5893,Health,438800000,118694090,27
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,5897,Logistics,51200000,40328510,79
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,5894,Nutrition,442926563,241427892,55
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,5901,Protection,218000000,120014320,55
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,5891,Rapid Response Mechanism (RRM),37623360,8242292,22
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,5936,Refugees and Migrants Multisector,58738565,11905351,20
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,5895,Shelter and NFI,207600000,52264684,25
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,5899,"WASH, Sanitation and Hygiene",330703801,49645337,15
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,,Not specified,,240499086,
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,2021-01-01,2021-12-31,2021,,Multiple clusters/sectors (shared),,209911350,
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,2020-01-01,2020-12-31,2020,5460,All non-COVID,2997000000,1480567300,49
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,2020-01-01,2020-12-31,2020,5446,CCCM COVID-19,7200000,3000000,42
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,2020-01-01,2020-12-31,2020,5443,Education COVID-19,4657450,3223403,69
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,2020-01-01,2020-12-31,2020,5442,Health COVID-19,304560000,143316005,47
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,2020-01-01,2020-12-31,2020,5147,Nutrition COVID-19,9627167,16498999,171
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,2020-01-01,2020-12-31,2020,5440,Protection COVID-19,5250000,6000000,114
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,2020-01-01,2020-12-31,2020,5447,RMMS COVID-19,10156000,144372,1
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,2020-01-01,2020-12-31,2020,5444,RRM COVID-19,,1162791,
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,2020-01-01,2020-12-31,2020,5439,Shelter/NFI COVID-19,16004190,14771648,92
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,2020-01-01,2020-12-31,2020,5438,WASH COVID-19,28226896,13037931,46
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,2020-01-01,2020-12-31,2020,,Not specified,,265584822,
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,2020-01-01,2020-12-31,2020,,Multiple clusters/sectors (shared),,44318241,
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,4410,Coordination and Safety,26202000,52071583,199
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,4411,Education,105425450,42760790,41
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,4413,Emergency Telecommunications,5518217,2768076,50
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,4414,Food Security and Agriculture,2208987410,1634045734,74
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,4415,Health,627188615,300408177,48
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,4416,Logistics,68489933,50228023,73
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,4417,Nutrition,320316606,284727390,89
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,4418,Protection,153037577,100171147,65
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,4412,Rapid Response Mechanism,48625261,49569753,102
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,4419,Refugee and Migrant Multi-Sector,121612945,45083165,37
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,4420,Shelter / CCCM / NFIs,221809935,75914346,34
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,4421,WASH,285466405,154157902,54
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,,Not specified,,662850704,
YEM,675,Yemen Humanitarian Response Plan 2019,HYEM19,2019-01-01,2019-12-31,2019,,Multiple clusters/sectors (shared),,187630870,
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,4227,Coordination and Safety,22936390,35118889,153
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,4237,Education,75344809,60103511,80
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,4226,Emergency Employment and Community Rehabilitation,59543250,25758246,43
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,4230,Emergency Telecommunications,2211000,667723,30
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,4231,Food Security and Agriculture,1351168152,1039299912,77
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,4232,Health,593600586,293363479,49
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,4228,Logistics,61704866,36852349,60
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,4229,Nutrition,210262136,163800770,78
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,4233,Protection,130521181,88517512,68
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,4234,Refugee and Migrant Multi-Sector,106714868,42275796,40
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,4235,Shelter / CCCM / NFIs,195267386,75176746,38
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,4236,WASH,298793176,190430727,64
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,,Not specified,,384738970,
YEM,657,Yemen Humanitarian Response Plan 2018,HYEM18,2018-01-01,2018-12-31,2018,,Multiple clusters/sectors (shared),,65157881,
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,3439,Coordination and Safety,17949253,14576998,81
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,3428,Education,36542493,13685399,37
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,3429,Emergency Employment and Community Rehabilitation,44862976,18893874,42
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,3430,Emergency Telecommunications,3238003,24792095,766
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,3431,Food Security and Agriculture,1073779967,790533752,74
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,3432,Health,430366785,196445207,46
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,3433,Logistics,19470000,32846988,169
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,3434,Multi-Sector: Refugees & Migrants,80958478,29573842,37
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,3435,Nutrition,182179941,121304273,67
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,3436,Protection,72233666,41902816,58
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,3437,Shelter/CCCM/NFIs,106018323,19697340,19
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,3438,WASH,271196255,86467515,32
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,,Not specified,,302315490,
YEM,542,Yemen Humanitarian Response Plan 2017,HYEM17,2017-01-01,2017-12-31,2017,,Multiple clusters/sectors (shared),,64005415,
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,174,Cluster not yet specified,,6795017,
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,161,Coordination and Safety,17624547,21585415,122
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,163,Education,33365012,6151462,18
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,162,Emergency Employment and Community Rehabilitation,50625795,10457214,21
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,164,Emergency Telecommunications,1820290,,
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,165,Food Security and Agriculture,745973868,464001552,62
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,167,Health,182311255,103126181,57
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,168,Logistics,44000000,20604483,47
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,169,Nutrition,102898303,60825082,59
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,160,Protection: Child Protection Sub-Cluster,26208644,6810179,26
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,166,Protection: GBV Sub-Cluster,9083450,2351754,26
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,170,Protection: Main Cluster,45448449,22478467,49
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,171,Refugee and Migrant Multi-Sector Response Plan,73875554,8832684,12
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,172,Shelter/NFI/CCCM,158287203,25354518,16
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,173,"Water, Sanitation and Hygiene",141129993,55928278,40
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,,Not specified,,210827631,
YEM,513,Yemen Humanitarian Response Plan 2016,HYEM16,2016-01-01,2016-12-31,2016,,Multiple clusters/sectors (shared),,0,
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2990,Child Protection,21943119,5972174,27
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2997,Cluster not yet specified,12448799,,
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2996,Coordination and Security,8759134,17749661,203
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2993,Early Recovery,48491688,10184631,21
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2994,Education,17480344,7266851,42
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2998,Emergency Telecommunications,2119622,678302,32
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2984,Food Security,791902005,278143350,35
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2991,GBV Sub Cluster,6886000,,
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2986,Health,131839469,90996814,69
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2995,Logistics,39837134,22723918,57
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2987,Nutrition,76911564,81004267,105
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2989,Protection,103793243,18072636,17
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2992,Response Plan for Refugees and Migrants,85750000,57133792,67
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2988,Shelter/NFI/CCCM,152424080,44241197,29
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,2985,WASH,100235247,41353388,41
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,,Not specified,,198658965,
YEM,477,Yemen Strategic Response Plan 2015,HYEM15,2015-01-01,2015-12-31,2015,,Multiple clusters/sectors (shared),,0,
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,2587,COORDINATION AND SUPPORT SERVICES,5200000,5647541,109
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,2588,EARLY RECOVERY,27316136,11800276,43
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,2589,EDUCATION,15224249,2831765,19
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,2590,FOOD SECURITY AND AGRICULTURE,252214377,140458859,56
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,2591,HEALTH,44937099,22907481,51
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,2592,LOGISTICS,2247092,1458158,65
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,2593,MULTI-SECTOR : REFUGEES/MIGRANTS,85027583,12821394,15
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,2594,NUTRITION,70604152,39826150,56
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,2595,PROTECTION (GBV&Child Protection),31317933,14353712,46
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,2596,SHELTER/CCCM/NFI,27609864,3246883,12
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,2597,"WATER, SANITATION AND HYGIENE",34284899,23969114,70
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,,Not specified,,78616016,
YEM,438,Yemen Strategic Response Plan 2014,HYEM14,2014-01-01,2014-12-31,2014,,Multiple clusters/sectors (shared),,0,
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,1429,CCCM/NFI/SHELTER,40193358,14542436,36
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,1420,COORDINATION AND SUPPORT SERVICES,5796779,6293351,109
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,1421,EARLY RECOVERY,37568311,6558714,17
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,1422,EDUCATION,19726709,3006277,15
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,1423,FOOD SECURITY AND AGRICULTURE,283776589,223498501,79
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,1424,HEALTH,60097850,20710551,34
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,1425,LOGISTICS,1600000,1242851,78
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,1426,"MULTI-SECTOR : REFUGEES, ASYLUM SEEKERS & MIGRANTS",51901040,24499179,47
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,1427,NUTRITION,96426617,39559316,41
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,1428,PROTECTION,42519870,7694956,18
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,1430,"WATER, SANITATION AND HYGIENE",66162439,19756735,30
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,,Not specified,,28482013,
YEM,414,Yemen Humanitarian Response Plan 2013,CYEM13,2013-01-01,2013-12-31,2013,,Multiple clusters/sectors (shared),,0,
